"Relative Time","Hits"
"00:00","2.875"
"00:08","0"
"00:16","2.875"
"00:24","6.375"
"00:32","0.5"
"00:40","5.5"
"00:48","1.375"
"00:56","4.75"
"01:04","5.625"
"01:12","9.5"
"01:20","6.75"
"01:28","8.5"
"01:36","6"
"01:44","5.5"
"01:52","8.875"
"02:00","6.125"
"02:08","10.75"
"02:16","3"
"02:24","8.25"
"02:32","3.5"
"02:40","3.75"
"02:48","3.625"
"02:56","2.875"
"03:04","1.75"
"03:12","2.125"
"03:20","0.125"
"03:28","2"
"03:36","1.875"
"03:44","0.25"
"03:52","1.375"
"04:00","1.25"
"04:08","0.125"
"04:16","0.375"
"04:24","0"
"04:32","1.25"
"04:40","1.125"
"04:48","1"
