"Relative Time","AddToCart_Transaction","Login_Transaction","Logout_Transaction","Register_Transaction","SearchForItem_Transaction","vuser_end_Transaction","vuser_init_Transaction"
"00:00","","","","","","","0"
"00:08","","","","","","","0"
"00:24","","","","9.957","","","0"
"00:32","","","","","","","0"
"00:40","","1.436","","7.413","","",""
"00:48","","","","8.413","","","0.001"
"00:56","0.817","1.862","","","","","0"
"01:04","","","","11.496","3.277","",""
"01:12","0.848","1.461","1.251","","","","0"
"01:20","","1.402","","10.729","2.984","","0"
"01:28","0.877","","0.91","8.048","","",""
"01:36","1.047","4.195","","7.878","4.24","","0"
"01:44","","2.375","0.972","","3.799","","0.001"
"01:52","1.615","","1.29","","","",""
"02:00","0.793","","","6.737","2.878","",""
"02:08","","18.285","","","4.974","",""
"02:16","","","4.689","17.624","","",""
"02:24","0.818","2.037","","","","0",""
"02:32","","","","","4.835","",""
"02:40","0.91","","0.875","16.962","","0",""
"02:48","","1.299","","","2.809","",""
"02:56","0.8","","0.911","31.821","","0",""
"03:04","","","","","2.317","",""
"03:12","","5.189","","","","",""
"03:20","","","0.979","","","0",""
"03:28","1.436","","","105.826","","0",""
"03:36","","1.384","","","","",""
"03:44","","","","","12.717","",""
"03:52","0.992","","","","","",""
"04:00","","","","","5.557","0",""
"04:16","","","9.271","","","0",""
"04:24","120.578","","","","","",""
"04:32","","","42.4","","","0",""
"04:40","","","","","8.306","",""
"04:48","","","1.117","","","0",""
